Lengua,Estado,Municipio,Localidad,HLI,Hombres,Mujeres,Latitud ,Longitud,Loc
náhuatl,Hidalgo,Huautla,14 de mayo,,,,,,14 de Mayo
náhuatl,Puebla,Puebla,18 de marzo,,,,,,18 de Marzo
náhuatl,Morelos,Cuautla,2 de mayo,,,,,,2 de Mayo
náhuatl,Veracruz De Ignacio De La Llave,Pánuco,2 huasteca,,,,,,2 Huasteca
náhuatl,Hidalgo,Huautla,21 de enero,,,,,,21 de Enero
náhuatl,Hidalgo,San Felipe Orizatlán,3 de marzo,,,,,,3 de Marzo
náhuatl,Puebla,Puebla,6 de junio,,,,,,6 de Junio
náhuatl,Tlaxcala,Teolocholco,a la vuelta,,,,,,A la Vuelta
náhuatl,Veracruz De Ignacio De La Llave,Atlahuilco,abaloma cuautla,,,,,,Abaloma Cuautla
náhuatl,Puebla,Coxcatlán,abasolo,,,,,,Abasolo
náhuatl,Veracruz De Ignacio De La Llave,Playa Vicente,abasolo del valle,,,,,,Abasolo del Valle
náhuatl,Morelos,Ayala,abelardo l rodriguez,,,,,,Abelardo L. Rodríguez
náhuatl,Veracruz De Ignacio De La Llave,San Andrés Tuxtla,abrevadero,,,,,,Abrevadero
náhuatl,Puebla,Pahuatlán,acahuales (el aguacate),,,,,,Acahuales (El Aguacate)
náhuatl,Hidalgo,Tlanchinol,acahuasco,,,,,,Acahuasco
náhuatl,Guerrero,Chilapa de Álvarez,acahuehuetlan,,,,,,Acahuehuetlán
náhuatl,Puebla,Acajete,acajete,,,,,,Acajete
náhuatl,Puebla,Chiconcuautla,acalama,,,,,,Acalama
náhuatl,Hidalgo,Yahualica,acalamatitla,,,,,,Acalamatitla
náhuatl,Puebla,Pahuatlán,acalapa,,,,,,Acalapa
náhuatl,Veracruz De Ignacio De La Llave,Moloacán,acalapa dos (kilometro 17),,,,,,Acalapa Dos (Kilómetro 17)
náhuatl,Guerrero,Atlixtac,acalco,,,,,,Acalco
náhuatl,Guerrero,Chilapa de Álvarez,acalco,,,,,,Acalco
náhuatl,Guerrero,José Joaquín de Herrera,acalco,,,,,,Acalco
náhuatl,Puebla,Chichiquila,acalocotla,,,,,,Acalocotla
náhuatl,Puebla,Ayotoxco de Guerrero,acaltzontan,,,,,,Acaltzontan
náhuatl,Guerrero,Taxco de Alarcón,acamixtla,,,,,,Acamixtla
náhuatl,Hidalgo,Xochiatipan,acanoa,,,,,,Acanoa
náhuatl,Nayarit,Acaponeta,acaponeta,,,,,,Acaponeta
náhuatl,Guerrero,Huitzuco de los Figueroa,acaquila,,,,,,Acaquila
náhuatl,Guerrero,Atlixtac,acatempa,,,,,,Acatempa
náhuatl,Hidalgo,Calnali,acatempa,,,,,,Acatempa
náhuatl,Guerrero,Teloloapan,acatempan,,,,,,Acatempan
náhuatl,Guerrero,Tlapa de Comonfort,acatenco,,,,,,Acatenco
náhuatl,Hidalgo,Tianguistengo,acatenco,,,,,,Acatenco
náhuatl,Puebla,Zoquiapan,acateno,,,,,,Acateno
náhuatl,Hidalgo,Huautla,acatepec,,,,,,Acatepec
náhuatl,Hidalgo,Lolotla,acatepec,,,,,,Acatepec
náhuatl,Puebla,Zoquitlán,acatepec (san antonio),,,,,,Acatepec (San Antonio)
náhuatl,Guerrero,Ahuacuotzingo,acateyahualco,,,,,,Acateyahualco
náhuatl,Hidalgo,Tlanchinol,acatipa,,,,,,Acatipa
náhuatl,Hidalgo,Huejutla de Reyes,acatitla,,,,,,Acatitla
