Lengua,Estado,Municipio,Localidad,HLI,Hombres,Mujeres,Latitud ,Longitud
Akateko,Campeche,Champotón,Maya Tecún I,as,as,as,sin datos ,sin datos 
Akateko,Campeche,Champotón,Santo Domingo Kesté,as,as,as,sin datos ,sin datos 
Akateko,Chiapas,Frontera Comalapa,Tres Lagunas (Nuevo Tres Lagunas),as,as,as,sin datos ,sin datos 
Akateko,Chiapas,La Trinitaria,El Colorado (Nueva Libertad),as,as,as,sin datos ,sin datos 
Akateko,Chiapas,La Trinitaria,"La Gloria, Ejido La Gloria",as,as,as,sin datos ,sin datos 
Akateko,Chiapas,La Trinitaria,San Francisco de Asís,as,as,as,sin datos ,sin datos 
Akateko,Quintana Roo,Bacalar,Maya Balam,as,as,as,sin datos ,sin datos 
Akateko,Quintana Roo,Bacalar,San Isidro la Laguna,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Azoyú,Azoyú,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Azoyú,Banco de Oro,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Azoyú,El Arenal (La Plataforma),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Azoyú,El Carrizo,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Azoyú,El Macahuite,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Azoyú,Huehuetán,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Azoyú,Los Chegües,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Azoyú,Los Quiterios,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Azoyú,Quetzalapa,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Azoyú,Rancho Dos Potrillos (Rancho Luis Justo H.),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Azoyú,Rancho Lempira,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Azoyú,Rancho los Mendoza,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Azoyú,Rancho Manzanárez Cortez,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Azoyú,Talapilla,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Azoyú,Tenango,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Altos de Baraña,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Barajillas (Barajilla),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Calzada (La Calzada),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Cerro de las Tablas,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Cerro del Indio (El Indio),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Comaltepec (Comal),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Cuajinicuilapa,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Dos Montes (Cutberto Morales),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,El Cuiji (El Cuije),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,El Pitahayo,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,El Quizáá,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,El Tamale,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,El Terrero,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,El Vaivén,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Huerta de Raquel Mendoza,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Huerta Maurilio Torres Barroso (Lote Veintinueve),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,La Bocana,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Las Lomitas,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Maldonado,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Montecillos,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Poza del Macho,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Pozos de Agua (Pozas de Agua),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Punta Maldonado (El Faro),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho Agua Fría,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho Aldegundo Melo Anica,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho Antonio Orduño,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho Blanco,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho Camero,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho de Colores,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho de Nicolás Moreno,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho Delfino Montalván (Lote Número 16),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho el Edén,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho el Mirador (Rancho de Martín Añorve),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho el Pitique,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho el Rodeo,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho Gonzalo Coronado,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho Hilario Aguirre (El Monte de Jícara),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho Joaquín López Añorve,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho la Providencia,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho los Almendros,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho los Limones,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho Maurilio Torres B. (Lote Veinticuatro),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho Melitón Cisneros Dos,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho Óscar Sotelo,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho Piedras Blancas,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho San Carlos,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho Santa Herma (Rancho Diógenes Justo H.),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,San Nicolás,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Tejas Crudas,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Tierra Colorada,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Juchitán,Barrio Nuevo,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Juchitán,El Aguacate,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Juchitán,Juchitán,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Juchitán,La India (La India Calosa),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Juchitán,Los Callejones,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Juchitán,Rayito de Luna,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Juchitán,Vista Hermosa,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Marquelia,Barra de Tecoana,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Marquelia,La Guadalupe,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Marquelia,Marquelia,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Marquelia,Rancho Joel Chávez,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Marquelia,Tepantitlán ,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Marquelia,Zoyatlán,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Acatepec,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Arroyo Barranca Honda,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Arroyo Chachalaco,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Arroyo el Guate,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Arroyo Tecojochén,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Arroyo Zapote,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Arroyo Zopilote,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Barranca Atotonilco (Atotonilco),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cañada de las Flores,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cerro Grande,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cerro Pájaro,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cerro Piedra Negra,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cochoapa,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cruz de Corazón,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cruz Verde II,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cuadrilla de San Antonio,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cuadrilla Nueva (Chilpancinguito),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cumbre de Barranca Honda,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,El Capricho (La Poza),as,as,as,sin datos ,sin datos 
